method,lambda,local_valid,metric_min_eigenvalue,local_displacement_norm,exact_displacement_norm,local_exact_error,exact_source_risk,exact_optimizer_success,exact_optimizer_gradient_norm
L2,0.0,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
L2,1e-06,True,1.071096022547433,1.9594991788461945e-07,1.9129474083018377e-07,7.889593840933229e-09,0.2559536235145257,True,1.1615454759491445e-08
L2,3.162277660168379e-06,True,1.071098184825093,6.196471274959307e-07,6.196657468521471e-07,2.565541944274079e-10,0.2559536235149146,True,3.590829712595865e-10
L2,1e-05,True,1.0711050225474326,1.9594870653057603e-06,1.9595459595006676e-06,8.113365144865644e-10,0.2559536235187979,True,1.135563661747646e-09
L2,3.1622776601683795e-05,True,1.0711266453240345,6.196350143338692e-06,6.196250218078894e-06,1.4574671751593948e-10,0.25595362355762846,True,1.6669979120010137e-10
L2,0.0001,True,1.0711950225474327,1.9593659420173407e-05,1.9594249878548658e-05,8.11874798440751e-09,0.2559536239459129,True,1.1361261667193328e-08
L2,0.00031622776601683794,True,1.0714112503134494,6.195139168928426e-05,6.19513917167884e-05,1.4991550037514662e-12,0.2559536278279737,True,3.0209983142150285e-12
L2,0.001,True,1.0720950225474326,0.0001958155784720853,0.00019581557855782695,4.760372905778619e-12,0.25595366662317054,True,9.578314946723876e-12
L2,0.0031622776601683794,True,1.074257300207601,0.0006183063366589415,0.0006183068283085034,6.752778254169494e-10,0.25595405377496067,True,9.870702954160675e-10
L2,0.01,True,1.0810950225474325,0.0019461607952533952,0.0019461641584498039,4.615179833301927e-09,0.25595790022011405,True,6.89411768027259e-09
L2,0.03162277660168379,True,1.1027177991491162,0.006065602779145117,0.006065602777534007,3.8810613413753165e-12,0.2559955945839258,True,5.957907083006413e-12
L2,0.1,True,1.1710950225474321,0.018359641923829755,0.018359641921707096,5.863435245201798e-12,0.25635026026407887,True,8.28125096021138e-12
L2,0.31622776601683794,True,1.38732278856427,0.051458928903355745,0.05145892886191078,7.837506592246566e-11,0.25934735755100335,True,1.2370783525731268e-10
L2,1.0,True,2.071095022547433,0.1239597958113314,0.12395979581133172,1.4166633472108499e-14,0.2795569595230384,True,3.246751760555656e-14
L2,3.1622776601683795,True,4.233372682715813,0.24551193275204225,0.24551193275204228,1.993797316372611e-15,0.3713876695456976,True,9.468539624326504e-15
L2,10.0,True,11.071095022547432,0.38894309977075453,0.38894309977075453,1.422676082133274e-14,0.5866218931063211,True,1.6188133009579083e-13
CORAL,0.0,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,1e-06,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,3.162277660168379e-06,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,1e-05,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,3.1622776601683795e-05,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,0.0001,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,0.00031622776601683794,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,0.001,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,0.0031622776601683794,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,0.01,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,0.03162277660168379,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
CORAL,0.1,True,1.0710950225474327,0.0,0.0,0.0,0.25595362351448325,True,0.0
