seed,source_design,method,lambda,step,direction,fd_norm,ift_norm,cosine,relative_error,valid
0,declared_source_target_coupled_correlation,IRMV1,0.1,0.00025,rho_source_1,1.2494685009583517,1.2494682262784715,0.9999999999999606,3.558141167464689e-07,True
0,declared_source_target_coupled_correlation,IRMV1,0.1,0.00025,rho_source_2,1.952889005492457,1.9528891202562773,0.9999999999999861,1.7604677456057576e-07,True
0,declared_source_target_coupled_correlation,VREX,0.001,0.001,rho_source_1,1.588043415238145,1.5880365837439818,0.9999999999973083,4.887714559470055e-06,True
0,declared_source_target_coupled_correlation,VREX,0.001,0.001,rho_source_2,1.588894035485347,1.5888871712330315,0.9999999999972954,4.90638931829527e-06,True
0,declared_source_target_coupled_correlation,VREX,0.001,0.0005,rho_source_1,1.5880382916124867,1.5880365837439818,0.9999999999998318,1.2219279886483957e-06,True
0,declared_source_target_coupled_correlation,VREX,0.001,0.0005,rho_source_2,1.58888888729322,1.5888871712330315,0.9999999999998309,1.2265978193450379e-06,True
0,declared_source_target_coupled_correlation,VREX,0.001,0.00025,rho_source_1,1.5880370107139772,1.5880365837439818,0.9999999999999896,3.05483110338743e-07,True
0,declared_source_target_coupled_correlation,VREX,0.001,0.00025,rho_source_2,1.5888876002430687,1.5888871712330315,0.9999999999999895,3.066469324786696e-07,True
0,declared_source_target_coupled_correlation,VREX,0.01,0.001,rho_source_1,1.5827600736853853,1.5827535653171334,0.9999999999974154,4.6987477404519255e-06,True
0,declared_source_target_coupled_correlation,VREX,0.01,0.001,rho_source_2,1.5912545923450674,1.5912477588866676,0.9999999999972918,4.8844648847835805e-06,True
0,declared_source_target_coupled_correlation,VREX,0.01,0.0005,rho_source_1,1.5827551924052905,1.5827535653171334,0.9999999999998385,1.1746864860898931e-06,True
0,declared_source_target_coupled_correlation,VREX,0.01,0.0005,rho_source_2,1.5912494672475077,1.5912477588866676,0.9999999999998308,1.2211159542434478e-06,True
0,declared_source_target_coupled_correlation,VREX,0.01,0.00025,rho_source_1,1.5827539720935244,1.5827535653171334,0.9999999999999899,2.9367385484242664e-07,True
0,declared_source_target_coupled_correlation,VREX,0.01,0.00025,rho_source_2,1.5912481859659453,1.5912477588866676,0.9999999999999893,3.0527285710632187e-07,True
0,declared_source_target_coupled_correlation,VREX,0.1,0.001,rho_source_1,1.530694471853836,1.5306909513915608,0.9999999999983376,2.9350292316072e-06,True
0,declared_source_target_coupled_correlation,VREX,0.1,0.001,rho_source_2,1.6144891007621291,1.6144825683219748,0.9999999999972503,4.676582330659203e-06,True
0,declared_source_target_coupled_correlation,VREX,0.1,0.0005,rho_source_1,1.5306918315112903,1.5306909513915608,0.9999999999998961,7.337596710772729e-07,True
0,declared_source_target_coupled_correlation,VREX,0.1,0.0005,rho_source_2,1.6144842014278153,1.6144825683219748,0.9999999999998281,1.169144449004489e-06,True
0,declared_source_target_coupled_correlation,VREX,0.1,0.00025,rho_source_1,1.53069117142331,1.5306909513915608,0.9999999999999936,1.8343927481085672e-07,True
0,declared_source_target_coupled_correlation,VREX,0.1,0.00025,rho_source_2,1.6144829765908253,1.6144825683219748,0.9999999999999896,2.92281925268138e-07,True
0,mechanism_defined_hidden,ERM,0.0,0.001,rho_source_1,1.5886313283006501,1.5886244606194047,0.9999999999972959,4.908838272734884e-06,True
0,mechanism_defined_hidden,ERM,0.0,0.001,rho_source_2,1.5886313283009708,1.5886244606197386,0.9999999999972957,4.908838198925683e-06,True
0,mechanism_defined_hidden,ERM,0.0,0.001,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,ERM,0.0,0.0005,rho_source_1,1.5886261775344184,1.5886244606194047,0.9999999999998309,1.22720880733289e-06,True
0,mechanism_defined_hidden,ERM,0.0,0.0005,rho_source_2,1.588626177534859,1.5886244606197386,0.9999999999998309,1.2272084922860267e-06,True
0,mechanism_defined_hidden,ERM,0.0,0.0005,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,ERM,0.0,0.00025,rho_source_1,1.588624889850161,1.5886244606194047,0.9999999999999892,3.068030661410775e-07,True
0,mechanism_defined_hidden,ERM,0.0,0.00025,rho_source_2,1.5886248898407114,1.5886244606197386,0.9999999999999895,3.0679842281781514e-07,True
0,mechanism_defined_hidden,ERM,0.0,0.00025,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,L2,0.001,0.001,rho_source_1,1.685874465988259,1.6858675660569167,0.9999999999975028,4.6631935563875265e-06,True
0,mechanism_defined_hidden,L2,0.001,0.001,rho_source_2,1.6858744659880363,1.6858675660572993,0.999999999997503,4.663193000548385e-06,True
0,mechanism_defined_hidden,L2,0.001,0.001,rho_hidden,0.0,0.0,0.0,0.0,True
0,mechanism_defined_hidden,L2,0.001,0.0005,rho_source_1,1.6858692910365018,1.6858675660569167,0.9999999999998439,1.1657983552115795e-06,True
0,mechanism_defined_hidden,L2,0.001,0.0005,rho_source_2,1.6858692910348732,1.6858675660572993,0.9999999999998442,1.1657970196045052e-06,True
